date,price,return
29/08/2018,30353,0.011697978
30/08/2018,30322,-0.001021838
31/08/2018,30210,-0.003700526
03/09/2018,29997,-0.007075619
04/09/2018,29972,-0.000833764
05/09/2018,30090,0.003929278
06/09/2018,30151.5,0.002041783
07/09/2018,30113,-0.001277701
10/09/2018,30355.5,0.008020748
11/09/2018,30354,-4.94E-05
12/09/2018,30377,0.000757439
13/09/2018,30509,0.004335979
14/09/2018,30377.5,-0.004319519
17/09/2018,30648,0.008865205
18/09/2018,30611.5,-0.001191652
19/09/2018,30635.5,0.000783712
20/09/2018,30942,0.009955017
21/09/2018,30514.5,-0.013912504
24/09/2018,30623,0.00354938
25/09/2018,30776,0.004983805
26/09/2018,30742,-0.001105368
27/09/2018,30539.5,-0.00660887
28/09/2018,30397,-0.004677008
01/10/2018,30431,0.001117906
02/10/2018,30277,-0.005073477
03/10/2018,30205,-0.002380875
04/10/2018,30405,0.006599595
05/10/2018,30619.5,0.007029992
08/10/2018,30568,-0.001683351
09/10/2018,30699.5,0.004292658
10/10/2018,30813,0.003690311
11/10/2018,30897,0.002722413
12/10/2018,30712,-0.006005634
15/10/2018,30688,-0.000781759
16/10/2018,30776,0.002863467
17/10/2018,30615,-0.005245081
18/10/2018,30394,-0.007244864
19/10/2018,30524,0.004268039
22/10/2018,30265.5,-0.008504809
23/10/2018,30313,0.001568213
24/10/2018,30075.5,-0.007865777
25/10/2018,29928.5,-0.004899683
26/10/2018,29974,0.001519136
29/10/2018,29865.5,-0.003626371
30/10/2018,29662,-0.006837203
31/10/2018,29804,0.004775847
01/11/2018,30379,0.019108968
02/11/2018,30267,-0.00369357
05/11/2018,30399.5,0.004368151
06/11/2018,30555,0.005102177
07/11/2018,30618.5,0.002076063
08/11/2018,30458.5,-0.0052393
09/11/2018,30228.5,-0.007579913
12/11/2018,29941.5,-0.00953971
13/11/2018,30231.5,0.009638949
14/11/2018,30305,0.002428288
15/11/2018,29799,-0.01683788
16/11/2018,29924,0.004185998
19/11/2018,29957.5,0.001118877
20/11/2018,29843,-0.003829404
21/11/2018,29839,-0.000134044
22/11/2018,30067,0.007611962
23/11/2018,29937,-0.004333051
26/11/2018,29957,0.000667847
27/11/2018,29767,-0.006362623
28/11/2018,29929.5,0.005444219
29/11/2018,29847,-0.002760284
30/11/2018,29747,-0.003356046
03/12/2018,29648,-0.003333617
04/12/2018,29617,-0.001046149
05/12/2018,29678.5,0.002074357
06/12/2018,29830,0.005091721
07/12/2018,29673,-0.005277057
10/12/2018,29280.5,-0.013315776
11/12/2018,29099.5,-0.006200774
12/12/2018,29426.5,0.011174637
13/12/2018,29476,0.001680744
14/12/2018,29306,-0.0057841
17/12/2018,29445,0.004731843
18/12/2018,29486,0.001391458
19/12/2018,29391.5,-0.003210058
20/12/2018,29495,0.003515241
21/12/2018,29410.5,-0.002869004
24/12/2018,29620,0.007098055
25/12/2018,29532.5,-0.002958457
26/12/2018,29390,-0.004836871
27/12/2018,29375,-0.000510508
28/12/2018,29475,0.003398474
31/12/2018,29595.5,0.004079876
01/01/2019,29578.5,-0.000574577
02/01/2019,29263.5,-0.01070674
03/01/2019,29308.5,0.001536571
04/01/2019,29528,0.007461389
07/01/2019,29649.5,0.004106296
08/01/2019,29507.5,-0.004800794
09/01/2019,29668.5,0.005441409
10/01/2019,29574,-0.00319028
11/01/2019,29812,0.0080154
14/01/2019,29846,0.00113983
15/01/2019,29840,-0.000201052
16/01/2019,29887,0.001573828
17/01/2019,30126.5,0.00798158
18/01/2019,29869,-0.00858403
21/01/2019,29908.5,0.001321568
22/01/2019,30058.5,0.005002762
23/01/2019,30318.5,0.008612604
24/01/2019,30309,-0.000313389
25/01/2019,30615.5,0.010061719
28/01/2019,30527,-0.002894879
29/01/2019,30315,-0.006968898
30/01/2019,30435.5,0.003967051
31/01/2019,30413,-0.000739542
01/02/2019,30355.5,-0.001892428
04/02/2019,30256.5,-0.003266683
05/02/2019,30039.5,-0.007197855
06/02/2019,30016.5,-0.000765952
07/02/2019,30064.5,0.001597843
08/02/2019,30049,-0.000515691
11/02/2019,29830.5,-0.007298023
12/02/2019,29921,0.003029215
13/02/2019,29799.5,-0.00406896
14/02/2019,29725,-0.002503172
15/02/2019,29906.5,0.006087405
18/02/2019,29983.5,0.002571382
19/02/2019,30308,0.010764474
20/02/2019,30276,-0.001056385
21/02/2019,30294.5,0.000610858
22/02/2019,30297,8.25E-05
25/02/2019,30407,0.003624147
26/02/2019,30743.5,0.011005745
27/02/2019,30876,0.004300593
28/02/2019,30770,-0.003438994
01/03/2019,30637,-0.00433176
04/03/2019,30598,-0.001273782
05/03/2019,30571.5,-0.000866445
06/03/2019,30555,-0.000539864
07/03/2019,30354.5,-0.006583562
08/03/2019,30199.5,-0.005119409
11/03/2019,30512,0.010294681
12/03/2019,30329.5,-0.005999213
13/03/2019,30946,0.020122914
14/03/2019,30720,-0.007329842
15/03/2019,30835,0.0037365
18/03/2019,30754,-0.002630341
19/03/2019,30790,0.001169895
20/03/2019,30627,-0.005307989
21/03/2019,30406,-0.007242015
22/03/2019,30644,0.007796927
25/03/2019,30627,-0.000554912
26/03/2019,30638,0.000359096
27/03/2019,30594,-0.001437157
28/03/2019,30264,-0.010845024
29/03/2019,30236,-0.00092562
01/04/2019,30388,0.005014526
02/04/2019,30455,0.002202391
03/04/2019,30528,0.002394111
04/04/2019,30336,-0.006309169
05/04/2019,30242,-0.003103439
08/04/2019,30303,0.002015031
09/04/2019,30297,-0.00019802
10/04/2019,30366,0.002274864
11/04/2019,30280,-0.002836133
12/04/2019,30347,0.002210237
15/04/2019,30384,0.001218488
16/04/2019,30270,-0.003759031
17/04/2019,30257,-0.00042956
18/04/2019,30155,-0.003376816
19/04/2019,30161,0.000198952
22/04/2019,30142,-0.000630151
23/04/2019,30024,-0.003922486
24/04/2019,29947,-0.002567909
25/04/2019,29940,-0.000233774
